parameter,baseline,low,high,Y_low,Y_high,Y0,swing_low_pct,swing_high_pct,abs_range
eta_earth,0.24,0.1,0.5,16.653731,83.268655,39.9689544,-58.33333333333333,108.33333333333331,66.614924
radius_factor,1.0,0.8,1.2,25.8166488,54.3151272,39.9689544,-35.40824575586096,35.893290218269996,28.4984784
geometric_albedo,0.3,0.2,0.4,26.872148,50.8685992,39.9689544,-32.76744812718944,27.270277553220147,23.9964512
eta_coron,0.3,0.2,0.4,29.457044,48.5529632,39.9689544,-26.30018862840205,21.476690918889783,19.0959192
nzodi_level,3.0,1.0,10.0,44.654078399999996,31.632664799999997,39.9689544,11.72190784155213,-20.85691188358934,13.021413599999999
sigma_sys,0.1,0.05,0.2,42.650784,33.1082096,39.9689544,6.709781729991916,-17.16518458636486,9.5425744
eta_inst,0.2,0.15,0.25,35.4776976,43.5985792,39.9689544,-11.236863379143093,9.08111021288063,8.120881600000004
hz_outer_au,1.67,1.4,1.77,41.8645448,38.676506399999994,39.9689544,4.7426569657774085,-3.233629749393713,3.1880384000000035
hz_inner_au,0.95,0.84,0.99,39.139633599999996,39.93664319999999,39.9689544,-2.0749124225276327,-0.08084074373486592,0.7970095999999955
