parameter,diameter,baseline,low,high,Y0,Y_low,Y_high,abs_range,swing_low_pct,swing_high_pct
eta_earth,10.0,0.24,0.1,0.5,3.5821969333333326,1.4925820555555556,7.462910277777778,5.970328222222222,-58.333333333333314,108.33333333333337
eta_earth,20.0,0.24,0.1,0.5,55.070776933333335,22.946157055555556,114.73078527777777,91.78462822222221,-58.33333333333333,108.33333333333331
eta_earth,50.0,0.24,0.1,0.5,776.1661394666667,323.4025581111111,1617.0127905555555,1293.6102324444444,-58.333333333333336,108.33333333333333
eta_earth,100.0,0.24,0.1,0.5,5743.3266616,2393.0527756666665,11965.263878333333,9572.211102666666,-58.333333333333336,108.33333333333333
eta_earth,250.0,0.24,0.1,0.5,60134.58636093334,25056.077650388892,125280.38825194446,100224.31060155557,-58.333333333333336,108.33333333333334
eta_earth,500.0,0.24,0.1,0.5,100254.0478236,41772.5199265,208862.5996325,167090.079706,-58.33333333333334,108.33333333333333
eta_earth,750.0,0.24,0.1,0.5,102356.33094573332,42648.471227388894,213242.35613694444,170593.88490955555,-58.33333333333332,108.33333333333334
eta_earth,1000.0,0.24,0.1,0.5,94299.21311653333,39291.33879855555,196456.69399277776,157165.3551942222,-58.333333333333336,108.33333333333333
geometric_albedo,10.0,0.2,0.1,0.35,3.5821969333333326,0.6513085333333333,9.179929733333333,8.5286212,-81.81818181818183,156.26535626535633
geometric_albedo,20.0,0.2,0.1,0.35,55.070776933333335,21.924453466666662,96.55208933333333,74.62763586666667,-60.18858878056577,75.32363752597091
geometric_albedo,50.0,0.2,0.1,0.35,776.1661394666667,306.26463559999996,1362.6870766666666,1056.4224410666666,-60.541355770757264,75.56641643798334
geometric_albedo,100.0,0.2,0.1,0.35,5743.3266616,2295.1320582666667,10039.727409066667,7744.5953508,-60.038281060835935,74.80683235715097
geometric_albedo,250.0,0.2,0.1,0.35,60134.58636093334,30783.833784,81094.3286692,50310.494885199994,-48.808438459636875,34.85472101273691
geometric_albedo,500.0,0.2,0.1,0.35,100254.0478236,73979.7951112,114958.27972053335,40978.48460933335,-26.207672690314052,14.666970776886613
geometric_albedo,750.0,0.2,0.1,0.35,102356.33094573332,81209.68069133333,113633.37734026667,32423.696648933343,-20.65983614204714,11.017439068338767
geometric_albedo,1000.0,0.2,0.1,0.35,94299.21311653333,78780.20304586666,102686.49156333333,23906.288517466674,-16.457199967817917,8.894324957341002
nzodi_level,10.0,3.0,1.0,10.0,3.5821969333333326,4.7527919999999995,1.9539255999999998,2.7988663999999996,32.67813267813269,-45.454545454545446
nzodi_level,20.0,3.0,1.0,10.0,55.070776933333335,62.93048666666666,41.85977546666667,21.07071119999999,14.272015342816031,-23.989132171967395
nzodi_level,50.0,3.0,1.0,10.0,776.1661394666667,893.8593517333334,575.0438246666666,318.81552706666673,15.163404622048857,-25.91227632504026
nzodi_level,100.0,3.0,1.0,10.0,5743.3266616,6550.2011182666665,4332.513165199999,2217.6879530666674,14.048904131841317,-24.564395854979466
nzodi_level,250.0,3.0,1.0,10.0,60134.58636093334,63401.10108933334,51755.74852066667,11645.352568666669,5.432006647213094,-13.933475471130894
nzodi_level,500.0,3.0,1.0,10.0,100254.0478236,101045.97738986665,97799.7324392,3246.2449506666453,0.7899227846241826,-2.44809604966619
nzodi_level,750.0,3.0,1.0,10.0,102356.33094573332,102601.80385106665,101571.16970733332,1030.6341437333322,0.23982190751197588,-0.7670861500655741
nzodi_level,1000.0,3.0,1.0,10.0,94299.21311653333,94387.75587119999,94001.73234466666,386.0235265333322,0.09389553925253002,-0.3154647446517386
sigma_sys,10.0,0.1,0.05,0.2,3.5821969333333326,4.163093733333333,2.2971828,1.8659109333333328,16.21621621621622,-35.87223587223586
sigma_sys,20.0,0.1,0.05,0.2,55.070776933333335,61.60146519999999,40.75959213333333,20.841873066666665,11.85871823557614,-25.986894677960695
sigma_sys,50.0,0.1,0.05,0.2,776.1661394666667,863.7231298666667,569.9653784,293.7577514666667,11.28070215226907,-26.566575193341354
sigma_sys,100.0,0.1,0.05,0.2,5743.3266616,6351.4728024,4319.7862444,2031.6865579999994,10.588743713048348,-24.785990786799925
sigma_sys,250.0,0.1,0.05,0.2,60134.58636093334,65746.20787533333,47931.31762173333,17814.890253600002,9.331770373738873,-20.293261295512806
sigma_sys,500.0,0.1,0.05,0.2,100254.0478236,110644.83053213332,81391.92386013333,29252.906671999983,10.364452043688255,-18.81432657627465
sigma_sys,750.0,0.1,0.05,0.2,102356.33094573332,112726.39500173331,84051.36622666667,28675.028775066647,10.131336244846375,-17.8835686566095
sigma_sys,1000.0,0.1,0.05,0.2,94299.21311653333,102827.4206476,80087.73133093333,22739.68931666667,9.043773801725852,-15.070626059241555
eta_inst,10.0,0.2,0.15,0.25,3.5821969333333326,2.6580429333333333,4.3303215999999995,1.6722786666666662,-25.79852579852578,20.884520884520896
eta_inst,20.0,0.2,0.15,0.25,55.070776933333335,47.8183684,61.10858306666667,13.290214666666671,-13.169250439507758,10.963720632891162
eta_inst,50.0,0.2,0.15,0.25,776.1661394666667,670.6013482666666,865.5098276,194.9084793333334,-13.600798312657345,11.510897421359399
eta_inst,100.0,0.2,0.15,0.25,5743.3266616,4965.0041628,6387.88447,1422.8803072,-13.551771380233,11.222725893505704
eta_inst,250.0,0.2,0.15,0.25,60134.58636093334,55214.57529573333,63668.56885986666,8453.993564133329,-8.18166609755931,5.876788571758076
eta_inst,500.0,0.2,0.15,0.25,100254.0478236,98344.41120386666,101497.07015946666,3152.6589555999963,-1.9047975230819645,1.2398724668492092
eta_inst,750.0,0.2,0.15,0.25,102356.33094573332,101569.39181106667,102860.51416226666,1291.1223511999851,-0.7688231176280316,0.4925764844000099
eta_inst,1000.0,0.2,0.15,0.25,94299.21311653333,93921.59499066666,94533.59617386667,612.0011832000018,-0.40044674116210077,0.2485525059935477
eta_coron,10.0,0.3,0.2,0.4,3.5821969333333326,1.8131021333333333,5.430504933333332,3.617402799999999,-49.38574938574937,51.5970515970516
eta_coron,20.0,0.3,0.2,0.4,55.070776933333335,37.951924266666666,68.9418884,30.98996413333333,-31.08518459325556,25.18778967556336
eta_coron,50.0,0.3,0.2,0.4,776.1661394666667,533.7825489333334,982.2348785333334,448.4523296,-31.228312884131263,26.549565690699204
eta_coron,100.0,0.3,0.2,0.4,5743.3266616,3966.2929386666665,7256.017134666667,3289.724196,-30.940843654508065,26.338228037429005
eta_coron,250.0,0.3,0.2,0.4,60134.58636093334,47772.1871044,67667.51523986665,19895.328135466654,-20.55788524482912,12.526782563564968
eta_coron,500.0,0.3,0.2,0.4,100254.0478236,95341.15714493333,102632.3449404,7291.187795466671,-4.900441214414659,2.3722704154396617
eta_coron,750.0,0.3,0.2,0.4,102356.33094573332,100418.89049279998,103246.39686533334,2827.5063725333603,-1.8928389040835405,0.8695758351009178
eta_coron,1000.0,0.3,0.2,0.4,94299.21311653333,93423.23834506667,94689.2941192,1266.0557741333323,-0.9289311570226411,0.4136630516573005
hz_inner_au,10.0,0.95,0.84,0.99,3.5821969333333326,3.705417466666667,3.476579333333333,0.2288381333333338,3.4398034398034665,-2.948402948402936
hz_inner_au,20.0,0.95,0.84,0.99,55.070776933333335,55.82770306666667,54.54268893333333,1.2850141333333411,1.3744606041233889,-0.9589260028767851
hz_inner_au,50.0,0.95,0.84,0.99,776.1661394666667,789.3859424,766.4757246666667,22.910217733333297,1.7032181978998908,-1.2484974939332754
hz_inner_au,100.0,0.95,0.84,0.99,5743.3266616,5841.955897066666,5678.3454332,163.61046386666567,1.717284098188299,-1.1314214257473076
hz_inner_au,250.0,0.95,0.84,0.99,60134.58636093334,60982.66048306666,59640.9913088,1341.669174266659,1.4102934325399756,-0.8208172401332123
hz_inner_au,500.0,0.95,0.84,0.99,100254.0478236,102398.35794906667,99408.65814880001,2989.699800266666,2.1388763566331472,-0.843247423074114
hz_inner_au,750.0,0.95,0.84,0.99,102356.33094573332,105074.593514,101343.84542626666,3730.748087733329,2.65568582143475,-0.9891772302813916
hz_inner_au,1000.0,0.95,0.84,0.99,94299.21311653333,97796.79274933331,93011.65535933334,4785.137389999974,3.7090231373168905,-1.3653960777051743
hz_outer_au,10.0,1.67,1.4,1.77,3.5821969333333326,4.268711333333333,3.30055,0.9681613333333332,19.164619164619182,-7.862407862407846
