aperture_m,scenario,mode,exposure_s,contrast_floor,iwa_mas,completeness,wa_completeness,n_stars_sim,n_selected_full,n_accessible,frac_accessible,eta_earth,E_yield_sample,E_yield_local,n_stars_local_est,completeness_mean,completeness_lo,completeness_hi,frac_accessible_lo,frac_accessible_hi,E_yield_local_mean,E_yield_local_lo,E_yield_local_hi
30.0,goal_1e-11,detection,300.0,1e-11,11.344575,0.00023666666666666668,0.010088666666666666,1500,24409,1,0.0006666666666666666,0.24,1.3864311999999999,46.21437333333333,813633.3333333334,0.0002539986666666667,1.2000000000000002e-05,0.00046200000000000006,0.0,0.0013333333333333333,49.598827637333336,2.3432640000000005,90.21566400000002
50.0,current_1e-9,detection,300.0,1e-09,6.806745000000001,9.999999999999999e-05,0.039030666666666665,1500,24409,1,0.0006666666666666666,0.24,0.5858159999999999,19.527199999999997,813633.3333333334,0.000101412,2.7999999999999996e-05,0.00016810666666666665,0.0,0.0013333333333333333,19.802924064,5.467616,32.82652501333333
50.0,nearterm_1e-10,detection,300.0,1e-10,6.806745000000001,0.0006626666666666668,0.039030666666666665,1500,24409,4,0.0026666666666666666,0.24,3.8820073600000007,129.40024533333337,813633.3333333334,0.0006581653333333335,0.00020722666666666667,0.00107832,0.0013333333333333333,0.004,128.52126097066667,40.465565653333336,210.56570303999996
50.0,goal_1e-11,detection,300.0,1e-11,6.806745000000001,0.0007626666666666667,0.039030666666666665,1500,24409,4,0.0026666666666666666,0.24,4.467823360000001,148.92744533333337,813633.3333333334,0.0007540359999999999,0.000286,0.0012315466666666668,0.0013333333333333333,0.004,147.242117792,55.84779200000001,240.48658069333334
80.0,current_1e-9,detection,300.0,1e-09,4.2542156250000005,0.00023733333333333332,0.13608466666666666,1500,24409,2,0.0013333333333333333,0.24,1.39033664,46.34455466666667,813633.3333333334,0.00023428933333333334,0.00012856,0.000352,0.0006666666666666666,0.002,45.75014669866667,25.104168319999996,68.735744
80.0,nearterm_1e-10,detection,300.0,1e-10,4.2542156250000005,0.0015193333333333333,0.13608466666666666,1500,24409,12,0.008,0.24,8.900497759999999,296.68325866666663,813633.3333333334,0.0015132573333333332,0.0009763466666666666,0.002032853333333333,0.005333333333333333,0.01,295.49678599466665,190.65316629333333,396.9593361066666
80.0,goal_1e-11,detection,300.0,1e-11,4.2542156250000005,0.001796,0.13608466666666666,1500,24409,12,0.008,0.24,10.52125536,350.708512,813633.3333333334,0.0018001546666666665,0.0011323466666666668,0.00243032,0.005333333333333333,0.01,351.51980206933337,221.11559829333336,474.57344704
120.0,current_1e-9,detection,300.0,1e-09,2.83614375,0.0006833333333333334,0.3278526666666667,1500,24409,5,0.0033333333333333335,0.24,4.003076000000001,133.4358666666667,813633.3333333334,0.0006813386666666667,0.00048389333333333337,0.00086408,0.002,0.004666666666666667,133.04636411733333,94.49081898666668,168.73062976
120.0,nearterm_1e-10,detection,300.0,1e-10,2.83614375,0.004208,0.3278526666666667,1500,24409,27,0.018,0.24,24.651137279999997,821.704576,813633.3333333334,0.004209314666666668,0.0033245866666666663,0.005098719999999999,0.014666666666666666,0.021333333333333333,821.9612935893333,649.1986875733332,995.6372518399997
120.0,goal_1e-11,detection,300.0,1e-11,2.83614375,0.004976,0.3278526666666667,1500,24409,28,0.018666666666666668,0.24,29.15020416,971.6734720000001,813633.3333333334,0.004894698666666667,0.0039448,0.005795573333333334,0.015333333333333332,0.022,955.7975980373335,770.3089856000001,1131.7131959466667
200.0,current_1e-9,detection,300.0,1e-09,1.7016862500000003,0.0032113333333333334,0.6569633333333333,1500,24409,27,0.018,0.24,18.81250448,627.0834826666668,813633.3333333334,0.003235810666666667,0.002778346666666667,0.003702666666666667,0.014666666666666666,0.022,631.8632205013332,542.5333102933333,723.0271253333334
200.0,nearterm_1e-10,detection,300.0,1e-10,1.7016862500000003,0.017446666666666666,0.6569633333333333,1500,24409,115,0.07666666666666666,0.24,102.20536479999998,3406.845493333333,813633.3333333334,0.017445606666666665,0.015607466666666665,0.01928357333333333,0.07,0.084,3406.638505013333,3047.7012309333327,3765.541931946667
200.0,goal_1e-11,detection,300.0,1e-11,1.7016862500000003,0.020415333333333334,0.6569633333333333,1500,24409,119,0.07933333333333334,0.24,119.59628912,3986.5429706666664,813633.3333333334,0.020440114666666665,0.01826296,0.022483919999999998,0.072,0.08666666666666667,3991.3820711893336,3566.24472512,4390.4800262399995
300.0,current_1e-9,detection,300.0,1e-09,1.1344575000000001,0.010990666666666668,0.8429746666666666,1500,24409,107,0.07133333333333333,0.24,64.38508384000001,2146.169461333334,813633.3333333334,0.011046086666666668,0.0102276,0.011988053333333333,0.06466666666666666,0.078,2156.9914355733335,1997.1639072,2340.9311505066667
300.0,nearterm_1e-10,detection,300.0,1e-10,1.1344575000000001,0.05162466666666667,0.8429746666666666,1500,24409,320,0.21333333333333335,0.24,302.42555728,10080.851909333334,813633.3333333334,0.051732393333333335,0.04907202666666667,0.05462258666666667,0.20333333333333334,0.22266666666666668,10101.887910986667,9582.392791253336,10666.261743573334
300.0,goal_1e-11,detection,300.0,1e-11,1.1344575000000001,0.059974,0.8429746666666666,1500,24409,340,0.22666666666666666,0.24,351.33728784,11711.242928,813633.3333333334,0.05998143866666667,0.05673216,0.06329104,0.21589333333333333,0.23866666666666667,11712.695491317334,11078.202347519999,12358.96796288
500.0,current_1e-9,detection,300.0,1e-09,0.6806745,0.047830000000000004,0.9183026666666666,1500,24409,439,0.2926666666666667,0.24,280.1957928,9339.85976,813633.3333333334,0.04789310266666667,0.04624104000000001,0.049607733333333334,0.2826666666666667,0.30533333333333335,9352.181943925332,9029.580362880002,9687.001303466668
500.0,nearterm_1e-10,detection,300.0,1e-10,0.6806745,0.19338066666666667,0.9183026666666666,1500,24409,1203,0.802,0.24,1132.85488624,37761.82954133333,813633.3333333334,0.19366824266666666,0.18919077333333334,0.19759968,0.7926666666666666,0.8113333333333334,37817.98508200533,36943.66069034667,38585.68471296
500.0,goal_1e-11,detection,300.0,1e-11,0.6806745,0.22208266666666668,0.9183026666666666,1500,24409,1223,0.8153333333333334,0.24,1300.99579456,43366.526485333336,813633.3333333334,0.22231494133333335,0.21791050666666667,0.22661341333333335,0.806,0.8253333333333334,43411.883224042664,42551.82045781333,44251.25444842667
700.0,current_1e-9,detection,300.0,1e-09,0.48619607142857146,0.096158,0.8947273333333332,1500,24409,949,0.6326666666666667,0.24,563.30894928,18776.964976,813633.3333333334,0.096183732,0.09402295999999999,0.09828565333333333,0.6206666666666667,0.6446666666666667,18781.989715104,18360.051445119996,19192.436097706668
700.0,nearterm_1e-10,detection,300.0,1e-10,0.48619607142857146,0.3437753333333333,0.8947273333333332,1500,24409,1465,0.9766666666666667,0.24,2013.89090672,67129.69689066667,813633.3333333334,0.3434577986666667,0.33955376000000004,0.3478818133333334,0.9726666666666667,0.9806666666666667,67067.69126123734,66305.34182272,67931.57745322668
700.0,goal_1e-11,detection,300.0,1e-11,0.48619607142857146,0.38763000000000003,0.8947273333333332,1500,24409,1467,0.978,0.24,2270.7985608000004,75693.28536000001,813633.3333333334,0.387539436,0.3836009600000001,0.3915772533333334,0.9746666666666667,0.982,75675.600746592,74906.52666112,76464.07341290667
1000.0,current_1e-9,detection,300.0,1e-09,0.34033725,0.145588,0.7887813333333333,1500,24409,1082,0.7213333333333334,0.24,852.8777980799999,28429.259936,813633.3333333334,0.1458973213333333,0.14300946666666667,0.149064,0.7112266666666667,0.734,28489.661731402666,27925.744574933327,29108.025408
1000.0,nearterm_1e-10,detection,300.0,1e-10,0.34033725,0.43828466666666666,0.7887813333333333,1500,24409,1464,0.976,0.24,2567.54170288,85584.72342933333,813633.3333333334,0.43831672666666666,0.43454437333333334,0.44223216000000004,0.972,0.98,85590.98384965333,84854.34886954667,86355.55834752
1000.0,goal_1e-11,detection,300.0,1e-11,0.34033725,0.47770599999999996,0.7887813333333333,1500,24409,1469,0.9793333333333333,0.24,2798.47818096,93282.606032,813633.3333333334,0.47786586666666664,0.47322088000000007,0.48216202666666663,0.976,0.9833333333333333,93313.82351573333,92406.78767936002,94152.74327125332
