aperture_m,scenario,mode,exposure_s,contrast_floor,iwa_mas,completeness,wa_completeness,n_stars_sim,n_selected_full,n_accessible,frac_accessible,eta_earth,E_yield_sample,E_yield_local,n_stars_local_est
300.0,nearterm_1e-10,detection,300.0,1e-10,1.1344575000000001,0.04697749999999999,0.8456625,200,24409,48,0.24,0.24,275.20171139999997,9173.390379999999,813633.3333333334
300.0,goal_1e-11,detection,300.0,1e-11,1.1344575000000001,0.05498,0.8456625,200,24409,51,0.255,0.24,322.08163679999996,10736.054559999999,813633.3333333334
500.0,current_1e-9,detection,300.0,1e-09,0.6806745,0.0500875,0.94923,200,24409,67,0.335,0.24,293.420589,9780.686300000001,813633.3333333334
500.0,nearterm_1e-10,detection,300.0,1e-10,0.6806745,0.20324749999999997,0.94923,200,24409,158,0.79,0.24,1190.6563746,39688.54582,813633.3333333334
500.0,goal_1e-11,detection,300.0,1e-11,0.6806745,0.23480249999999997,0.94923,200,24409,163,0.815,0.24,1375.5106133999998,45850.35378,813633.3333333334
700.0,current_1e-9,detection,300.0,1e-09,0.48619607142857146,0.10143749999999999,0.9750025,200,24409,140,0.7,0.24,594.2371049999999,19807.903499999997,813633.3333333334
700.0,nearterm_1e-10,detection,300.0,1e-10,0.48619607142857146,0.3764575,0.9750025,200,24409,195,0.975,0.24,2205.3482682,73511.60894,813633.3333333334
700.0,goal_1e-11,detection,300.0,1e-11,0.48619607142857146,0.4319125,0.9750025,200,24409,195,0.975,0.24,2530.2125309999997,84340.41769999999,813633.3333333334
1000.0,current_1e-9,detection,300.0,1e-09,0.34033725,0.15721749999999998,0.9880324999999999,200,24409,154,0.77,0.24,921.0052697999998,30700.175659999997,813633.3333333334
1000.0,nearterm_1e-10,detection,300.0,1e-10,0.34033725,0.54164,0.9880324999999999,200,24409,198,0.99,0.24,3173.0137824,105767.12608,813633.3333333334
1000.0,goal_1e-11,detection,300.0,1e-11,0.34033725,0.6207349999999999,0.9880324999999999,200,24409,198,0.99,0.24,3636.3649475999996,121212.16492,813633.3333333334
