source_id,ra,dec,parallax,parallax_over_error,phot_g_mean_mag,random_index,ruwe,teff_gspphot,logg_gspphot,lum_flame,mass_flame,radius_flame
1471777269618346240,204.37162014920293,35.71750160326199,91.38759677020911,4936.969,8.357506,1029386209,1.0373561,3739.4382,4.2514,0.064677484,0.5746476,0.60603064
1489845544197309440,221.49922749274356,42.496677135934,25.720854726225696,1343.2184,14.602093,319112104,1.1393,3010.3052,4.6028,0.0049064434,,0.2575613
1495759508006043904,209.46035291421296,37.279342013997024,27.232338414398143,1208.2233,14.740522,1270027745,1.1744163,3150.9824,5.0877,0.0035095827,,0.1989001
1501214734947231360,203.21790112548967,42.023663471169016,31.785528229098155,1978.8972,13.424028,1794260189,1.3193822,3001.04,4.3135,0.009654858,,0.36370704
1526280988720216960,198.96132871610249,42.88758107675375,27.74258783951713,1518.3357,14.330426,1483915720,1.2019479,3048.949,4.6008,0.005054604,,0.25500056
1555980240895554816,193.98857038048916,50.91909362621952,46.49271001801999,3586.9314,13.170906,70705994,1.2434939,3068.343,4.6017,0.0050666113,,0.25195786
1568610571482444032,188.96449451319464,51.2213903087492,38.18104202492382,1477.9506,8.258376,536639627,1.3143904,4750.611,4.5043,0.29173046,0.7873056,0.7973578
1604859408265509632,216.29652899703083,51.82962179087826,68.81207229565997,2136.3918,10.498154,70231512,1.1535584,3254.2715,4.0539,0.021132722,,0.45737723
1614216733253368064,225.5191659853362,59.04341309890543,26.443331767749356,2312.5435,13.10532,432923220,1.3038979,3152.538,4.2807,0.013415134,,0.37101308
1615454061791972480,231.35072033782853,60.74430040160969,26.662570876835517,1852.4241,12.3960495,317214980,1.3202459,3177.794,4.1036,0.028250596,,0.55498374
1647754380521467264,235.38124711554352,70.87750743296726,31.36663750953469,1984.9452,13.742602,815524934,1.2910109,3051.0754,4.7866,0.008333881,,0.32651728
1649026618553865472,254.67572397577865,68.89882693265304,37.15929126432873,2525.163,11.087341,255646096,1.0600444,3633.9268,4.7516,0.038121436,,0.4925876
1663419053962482944,200.2974207172037,61.08496948173168,26.09976231952302,1649.1826,8.292493,1088416448,1.045949,5344.7944,4.4815,0.5356389,0.88793015,0.8535835
1690514490804468864,181.52609900359525,73.48349159601779,35.110180698412385,1991.4895,14.433781,601364440,1.0704628,3009.2014,4.7872,0.00303916,,0.20322292
1693272581363394304,183.0499920871888,77.61633033521059,29.579438647454563,365.50546,5.0619016,1000371860,1.1610819,7055.2695,4.0249,8.023096,1.5701728,1.8956932
1712523999173578496,204.057961729645,74.43978267014772,37.55019078537282,2383.633,12.722284,1500561005,1.3033814,3129.451,4.3393,0.00947169,,0.31118733
