source_id,ra,dec,parallax,parallax_over_error,phot_g_mean_mag,random_index,teff_gspphot,logg_gspphot,lum_flame,mass_flame,radius_flame,evolstage_flame,distance_pc,hz_center_m
8001455352992384,43.632192900643,6.875992909600833,3.586880098179106,175.61035,12.092631,431854,5682.769,4.4259,0.96424013,0.894048,1.0719882,363,278.79381875843967,146900811679.25183
143498847386034304,43.35906227733007,39.567284442654184,3.848545632228155,233.91193,10.235235,322153,6289.2417,3.9753,4.374972,1.3354392,1.7614548,289,259.8384157448693,312909843837.13184
153597341995289984,73.65899512017468,26.767036701386594,4.2661831226635245,29.34026,18.069252,349649,3369.6445,4.6395,0.017470635,,0.37897244,,234.401564876021,19773609109.206963
585288902961810688,133.8466061893696,8.543799259479446,4.441352192067621,74.16395,16.623554,410961,3557.7827,4.7784,0.0250049,,0.41957605,,225.15665426984782,23656154448.619854
856288527452855552,169.25672474719926,56.5087228613558,4.464496931618633,304.68616,10.079841,487944,6034.348,4.1155,3.390651,1.244684,1.6812091,348,223.98940246050148,275469257099.96796
877492574835195520,118.94478283766982,30.53152680406268,3.709563197656248,218.67816,13.757208,109055,4470.8604,4.5367,0.21314456,,0.7697712,337,269.5735176130207,69066701524.13687
959964880451517568,94.34956822181682,41.658178057822,11.114773285190006,369.46918,15.241121,169972,3408.1907,4.8464,0.019399082,,0.3994324,,89.97034616373689,20836376015.56168
970963703283532672,94.75018409317268,50.15706846723091,3.419163194029776,23.00937,18.064808,400409,3452.3972,4.9929,0.011668467,,0.3020299,,292.46922221966673,16159893489.24778
1760875847639417472,317.8347967973501,16.473112979753914,3.394859591269465,21.967434,15.546458,479921,4142.735,4.4235,0.10086639,,0.68784827,370,294.5629924052507,47512166834.252495
1868633347290733952,318.88859085713324,37.2005850718284,8.422183675190691,681.1562,9.401132,485189,5937.2173,4.2362,1.8632754,1.0798413,1.2898241,345,118.73405265972883,204206762306.6736
1880801436306547968,337.44238139329036,26.959612136564317,3.407428078070208,221.6445,13.591411,377452,4870.782,4.5679,0.27388522,0.8016362,0.73601615,150,293.4764805267287,78291730417.12784
2395658510609785728,353.5623103940796,-15.933023955560932,4.042476806467314,87.13431,15.835661,170921,3797.6753,4.705,0.05282334,0.54932237,0.53106403,161,247.3730952272034,34383059359.10396
2753283738516158208,1.8017735874877856,10.0081058477031,5.086929508404759,36.84678,17.893538,152628,3324.0713,4.8966,0.007571066,,0.264097,,196.5822404945407,13016975990.557898
2966396751570054016,89.06262000081456,-19.67670728754564,5.606864077167169,134.18684,15.974405,143419,3424.077,4.4251,0.029571656,,0.4887747,,178.35281651864892,25725831295.15578
3076087433168590336,126.27319603370444,-1.4864451483988401,3.3359678865938647,110.01541,15.044855,8853,4319.8433,4.6698,0.12745576,0.6895294,0.6357276,105,299.7630774620656,53408615538.393715
3544287624902245632,176.67526628348304,-17.501853373923467,4.715932097198569,60.670307,16.726173,436372,3649.9695,4.5874,0.010798463,,0.26000127,,212.04715831129874,15545781493.121817
4093944620223296896,273.4627032921826,-20.882887448152182,4.148604256494642,6.4063187,14.015232,361709,5328.561,4.6514,0.190249,,0.53339267,,241.0449245513113,65251842661.74187
4248863987481393152,301.58227088195673,6.500274975104434,4.408600125160203,190.82889,11.837271,343242,5322.001,4.4028,0.75499016,,1.0216424,358,226.82937250147205,129987693993.07674
4376287180290479616,266.0406584113101,2.9215674486695717,4.606382054557539,347.64212,10.731414,360339,6629.405,4.145,3.5850887,1.3204939,1.4351782,203,217.09011283825305,283257584873.60535
4381635372346977536,256.9390672278045,1.1566294146017024,3.3981529889222077,216.29758,12.396146,487543,5455.748,4.3415,0.8710872,0.91362226,1.0513954,359,294.27750994729934,139624749826.9431
4412474032103949952,240.1019027912862,1.5955248093334182,9.02010245126104,181.53188,16.011854,253906,3408.6377,4.8847,0.014170481,,0.34006482,,110.8634857977912,17808358420.73307
4506817558638270976,284.99425003391104,14.864076403002619,3.775227369711608,75.23058,16.282774,439450,3532.6663,4.5261,0.050636142,,0.6011328,,264.88470814312586,33663704055.857334
4843026876980183808,57.68439737209289,-40.81618756073007,5.4577350168252075,209.8418,15.720694,247127,3650.8833,4.7794,0.03599268,,0.47428346,,183.22619125281483,28381717674.797306
4843633566880707712,62.091359446619755,-41.43753904305986,3.6918577382983604,78.089,16.786137,471708,3537.5393,4.7672,0.032172825,,0.47669217,,270.866341794881,26833430182.27528
5765716311792111360,239.5702621576678,-86.0897272582231,3.9683803497548022,63.909714,17.2509,157971,3480.4185,4.7796,0.026259048,,0.4458454,,251.99197452476747,24242147051.90625
5880954652383276288,221.3668647283358,-57.32582001838481,3.4163432127352675,45.77235,17.278852,258974,3389.5334,4.4245,0.029162979,,0.49678445,,292.7106375823868,25547448611.921234
6011154249457180032,240.6826284029738,-34.65705889715808,3.411281757224539,28.47719,17.609076,337432,3464.461,4.7951,0.027229263,,0.45698747,,293.1449440909309,24685932264.913574
6109123415543052800,207.81540562550597,-42.0927718672341,3.901574233723342,280.5939,11.971295,128338,5766.8374,4.4828,0.8518323,1.0283148,0.923322,122,256.30679825504234,138072960820.31894
6248400718095046656,239.35023900475124,-18.27727716944217,4.616491037035737,261.01654,11.694966,184181,5289.1377,4.3013,0.98877275,0.91111666,1.1836171,370,216.61473876533356,148757831210.3947
6288668407312131968,206.23542253509922,-21.318958853150086,5.232790411988304,53.174034,17.204851,41877,3484.3796,4.8313,0.009867492,,0.28603598,,191.10262809475486,14860553580.214094
6558381770701744256,327.51989924588435,-52.3870820753388,5.899239977175579,110.9755,14.927657,433404,3708.808,4.6296,0.049655356,0.5388134,0.5423191,154,169.51336169897212,33336088571.396122
6586106093835177600,327.0760278645914,-37.553991808453205,10.78892308381364,618.48047,10.473926,453139,5354.989,4.59,0.47808194,0.9207286,0.8033694,100,92.68765679683784,103438630821.47755
6735015869866791168,278.1069453015677,-33.883539077278584,4.118979146467553,256.32004,12.825944,413270,5111.5386,4.5217,0.39512482,0.83495134,0.80080336,229,242.778602280034,94036996737.80772
6860437234266288640,304.9917308706363,-19.463167999860755,3.920547694503173,169.80605,14.611749,422866,4373.449,4.6105,0.15704969,,0.6898831,303,255.0664034522666,59285724203.11547
35910088418629504,44.746312137296684,18.46286566224415,9.632953273327068,149.42528,16.50328,369902,3353.1545,5.02,0.0069477074,,0.24718684,,103.81032396045413,12469595137.997044
195906656809372800,84.38594382726423,41.83143425211112,8.426406958348984,25.113804,12.236613,142808,4154.4756,4.4147,0.20063534,,0.86460125,306,118.67454360356855,67009335884.46033
285598145316151296,79.71409358798844,61.75936171629383,5.85881510955111,51.842968,18.090857,345335,3185.4233,5.0042,0.0055943476,,0.24513216,,170.68297621643464,11189387582.196445
289093600154305024,22.988647580296764,21.61091649290612,11.679144418830477,309.44553,11.503057,539803,4564.737,4.6067,0.20057146,0.71435344,0.7164122,279,85.622710374887,66998667318.48423
1150141015796149504,109.61191199028221,84.78964342817454,3.8743966281640385,105.80356,16.148174,303918,3646.755,4.6665,0.047629602,0.5346852,0.5460824,145,258.1047053186886,32649014061.197647
1318053960526857088,247.36419091635307,29.992878593692787,4.294639585750797,324.99518,11.592383,74322,5729.5093,4.4699,0.9518572,0.9853201,0.9903788,271,232.84841021768258,145954501948.9821
1395000021918065408,229.5427281324396,43.687220776334065,3.778558372361039,146.61185,15.485376,158697,4099.924,4.667,0.0784908,,0.55653524,,264.65119801104146,41912249860.748085
1556750689309295360,200.26703339919408,51.11790578577629,3.5061711027280693,87.25498,16.246075,486474,3677.9304,4.6643,0.043101862,0.5210836,0.5121415,147,285.21140888472996,31058437975.700466
1975300371915698048,331.2727312035129,47.37276571563291,4.976886515091136,75.02914,17.216415,305101,3500.5596,4.966,0.012619325,,0.3066092,,200.92883311037042,16805431017.758608
2012920192316396672,355.30666933354576,61.89087176260403,7.595963502238789,77.93455,17.926748,32550,3187.9495,5.028,0.0048523378,,0.22807378,,131.64886846879477,10420945038.890123
2333762701819511552,0.8904103165943009,-27.373177198418574,3.487802409403731,42.463173,17.311666,170311,3376.1362,4.5985,0.02630136,,0.47399065,,286.71348964718396,24261670173.27333
2408005472138873984,353.422858775021,-14.19741801505984,3.4392760144340233,214.05058,13.2511015,151321,4865.675,4.521,0.34268236,,0.8236672,367,290.7588677975189,87574460214.42636
2585324159026864512,23.539190668524512,11.098093808179458,7.79811295550955,93.60473,16.876987,340100,3335.0806,4.9726,0.008934054,,0.28313708,,128.236152221093,14140210353.67316
2764952335731579520,353.4179441412707,12.952136044558507,5.033099915775675,157.634,11.844151,392066,5316.736,4.4774,0.55337316,0.86111146,0.87646943,299,198.68471056289079,111286027044.07329
2947787963949566720,105.03514440100335,-15.84644273234555,6.411447034803056,96.76618,16.783863,357178,3306.6462,4.5625,0.012207233,,0.33955425,,155.97103034178267,16528757831.826511
2952758164524993792,102.3989662198647,-12.57654035905762,4.172319838016407,41.39925,17.571392,393873,3392.3147,4.8981,0.015241262,,0.35686633,,239.67481852384003,18468943461.261745
3007908984875977472,95.83581044454928,-6.435071048048537,3.4556937263156082,42.789078,13.135177,51100,4894.757,4.4493,0.41857022,,0.9007373,413,289.3774967338266,96786716574.96944
3023503633168803200,86.10811349088833,-4.348548606408522,10.583254877994193,276.65842,15.476892,444208,3333.3325,4.6501,0.018553492,,0.40834123,,94.48888943223925,20377195891.428997
3125014012684556288,95.29187413215928,2.949609278620916,4.747527720322268,39.1839,17.908339,7720,3300.5488,4.843,0.007637274,,0.27333066,,210.63594757317577,13073768154.901352
3172048169477196288,65.35232665428812,-16.9133356009744,3.8020811845381735,288.96066,13.18391,227752,4953.2637,4.587,0.32349962,0.7984971,0.77018595,235,263.0138472757169,85088032382.12505
3212393614786639616,75.45699510653121,-4.671722948837716,3.420023280750517,13.388453,15.264429,510265,5810.8867,3.9996,0.4333884,,0.64579713,,292.39567041208915,98485034409.69048
3239890888770255104,75.93531100240577,5.627894696251258,6.0835089786968375,276.84833,14.122891,297913,4179.1597,4.6735,0.09441266,,0.58604664,,164.37881549970396,45967058678.74153
3370793692293436800,94.7020034027181,18.58290717835648,4.048282837986826,45.393436,17.168322,302937,3395.0588,4.6169,0.017789647,,0.38610402,,247.01831369502108,19953324179.853836
3681439880716471808,187.81917904624694,-3.7901544588131717,3.413833830617594,96.303276,13.413332,134961,4830.413,4.5115,0.32141602,,0.8096802,374,292.92579827152593,84813571808.80261
4209807582112152448,294.18066436167345,-5.194672329502106,3.849110764016549,269.48328,12.78596,305289,5611.6357,4.4953,0.60947186,,0.8276063,,259.8002659077806,116790743158.07771
4320613305988800000,288.32809124057815,15.344837778630653,5.991172279525785,65.093124,17.203798,343695,3359.03,4.9333,0.011542041,,0.3177003,,166.9122424366592,16072110037.408092
4559724889903238016,252.3539056488996,18.39120314568871,6.4253626462344196,307.0591,14.596421,371518,3966.3982,4.6682,0.08035683,,0.61067414,266,155.63323894038098,42407531019.468315
4621897565168305664,67.35940829019592,-82.03405529676724,5.282286375581474,108.4897,16.922039,476073,3420.1487,4.8635,0.015688071,,0.3584392,,189.31196245298608,18737703692.943115
4813786980148047488,75.91394459341807,-41.66403525733813,3.89437419877326,42.740715,18.017708,376734,3340.2917,4.9387,0.01215772,,0.32923776,,256.78066589363783,16495202620.381424
5071118399498901504,45.36288629603472,-29.138185282882787,3.468414286087189,75.62859,14.7694435,176153,4200.5557,4.5464,0.162359,,0.7611374,325,288.31619221823894,60279518749.79417
5184795841542053376,40.759187416529144,-5.631037398486358,3.3921347009159293,129.05743,14.267384,20962,4355.3,4.4736,0.20768891,,0.8009232,409,294.7996138626171,68177056973.40683
5413581705667867136,154.2415466691924,-46.20706052450728,3.3818158328893224,93.78163,16.057878,341191,3656.7524,4.4683,0.05339274,0.5479165,0.5753755,155,295.6991301166243,34567876778.52407
5539950428166060032,123.47166520112427,-39.230596805844236,5.76538472415534,232.01187,15.493505,475248,3647.1333,4.7568,0.039640177,,0.4989551,,173.44896270500064,29785122202.409138
5571805341605344000,93.07222849613079,-42.283573773013046,4.482834391576523,53.797775,17.759222,242169,3360.8396,4.9293,0.012387624,,0.3277532,,223.07315253024998,16650435651.164549
5840814021121767168,206.72427738610247,-70.69713698002329,3.7960447502694477,178.42393,14.93361,275758,4306.9355,4.6273,0.1373232,,0.6664626,267,263.4320893948942,55437489151.63641
5844130633548448384,203.33472467243053,-69.92218628076553,4.562150211177204,367.3437,13.393389,299297,5236.109,4.6972,0.2646707,,0.6284175,,219.19488699648997,76963449829.22299
6143451714746823936,182.77538429875707,-45.38522733075966,3.371240333141887,187.2777,13.589126,93418,4984.434,4.615,0.30742282,0.8342684,0.7431971,107,296.6267311675262,82946801183.59894
6283305092671286272,218.5527004866776,-19.54583273746551,9.600593342653868,217.82806,14.987824,117907,3580.771,4.8003,0.0239155,,0.4014508,,104.16022888472563,23135096804.28254
6804510124343038592,317.82330642840674,-23.49725715642445,3.7221025477090373,20.841124,17.932423,509609,3334.8425,4.8556,0.01526442,,0.36607975,,268.665354374909,18482969412.386303
6885641373665667328,318.667733342941,-13.19535507085949,5.2279604990287805,36.61191,17.655909,437088,3360.3489,4.9863,0.008194379,,0.26650664,,191.2791805113627,13542211918.948051
67383192152286336,58.35241525635499,26.10775754536575,5.805079170205446,34.817814,18.228151,436773,3168.309,4.9585,0.0071703517,,0.2806698,,172.2629391744556,12667818203.212976
130957057548896384,35.527603400989996,28.367381275105156,4.035428929488411,23.662992,18.131756,398634,3351.088,4.4899,0.011009845,,0.30867103,,247.80513235969053,15697200119.320444
417872314714045056,10.43483693089985,53.94639938746721,6.130252219957122,423.94025,13.279367,133244,4422.3076,4.6206,0.17624663,,0.7129433,352,163.1254252059134,62804679266.74486
479355669211232000,74.86954137176012,64.4046200788897,5.240401317236051,197.60175,14.622476,164588,3589.557,4.1517,0.1014612,,0.8236653,227,190.82507988671196,47652050663.67192
557466143474610176,69.35954312110978,80.62708304557314,4.264726876474183,154.90126,10.159368,347258,6716.9966,4.2216,3.7543178,1.3472645,1.4319222,185,234.48160432415295,289865886523.5869
862496404462919168,172.44855677691046,61.251028340582664,3.59259134247992,67.98662,16.142086,68842,3562.925,4.5179,0.057861727,,0.63092005,,278.3506123214428,35985479045.26829
916171263595963648,126.94729923285593,43.63530910722905,4.08889670269798,37.16692,17.679625,113170,3422.2786,4.6212,0.011467879,,0.30421522,,244.56475003151075,16020392015.107836
1403720179917935488,239.36088639257756,50.606679213452544,3.8225225374067633,152.90826,15.551744,408855,3837.0312,4.6132,0.078582704,,0.63383365,331,261.60735226911436,41936779683.91544
1639630879377737984,233.98929898626045,61.78670661560173,6.878433696360519,197.29881,16.29132,367428,3469.7866,4.6351,0.012947096,,0.32520798,,145.3819349206077,17022281578.107788
2234551985239027584,302.13918755685665,57.49519565094764,4.014207494248634,346.9913,12.622385,67229,5233.6924,4.526,0.4674416,0.86091375,0.8306707,239,249.1151743981228,102281071290.93901
2260301688564981376,275.2614612150058,70.14140097206555,5.0564134037612165,521.7917,11.949005,278308,5216.636,4.4963,0.51362884,0.8240668,0.8777666,325,197.76863957684895,107215183765.20425
2538816539454218112,18.466531809347487,2.87878976386266,5.08382985708441,200.70808,10.119948,1617,6027.974,4.1171,2.497186,1.1651715,1.4489288,337,196.70209824321356,236405205125.19266
2602540758771348608,337.19784152979577,-11.737933404659412,5.471032892665132,32.15593,17.679653,105095,3245.9802,4.9659,0.008316779,,0.2877618,,182.7808422319437,13642977507.024359
2611756972609498752,343.36449705496284,-5.988263721536462,9.886260415205587,310.74448,6.8871317,284689,7267.6646,3.9269,13.160035,1.7484773,2.2874975,244,101.1504813753386,542700370269.1373
2670423988195011712,328.01354112235595,-3.816004180978347,4.394833065233327,58.7859,16.821486,274674,3492.2043,4.838,0.022378625,,0.40816143,,227.53992817402013,22379392660.950455
2682723610594386048,333.94900527786814,2.6998445893754717,4.642162064696068,189.79312,14.491706,251465,3883.9526,4.4338,0.12761354,,0.7879781,340,215.4168652587686,53441664862.48277
2793121072013874176,6.8678002423110405,16.875662532605638,5.0119753107794205,192.82094,11.757994,286143,5250.844,4.437,0.6023685,0.839841,0.9374269,349,199.52213209216475,116108151424.54355
3207543011866562688,79.4980344596342,-6.720166730825307,3.7559867747347626,30.62455,17.64306,233815,3289.527,4.597,0.03210743,,0.55157804,,266.24161904047634,26806145803.729763
3380011890402420096,104.29850294086135,22.769098886108132,8.41338604796926,288.02112,12.605854,94550,4392.202,4.6314,0.15884626,0.6921562,0.6840525,286,118.85820932243685,59623860110.21719
3416964448987341952,82.20979441279322,25.18099429847724,3.7772201870844624,24.410067,18.130161,306037,3478.8157,4.8423,0.027682213,,0.45956182,,264.7449580565421,24890406959.64191
3865553476449055744,161.11494462560458,7.1548684093934245,4.207894455134558,43.60345,17.446636,101610,3361.9392,4.8766,0.015823193,,0.371193,,237.64854624140577,18818224908.020695
3881222994613276672,150.800907237278,12.278622959008597,6.909174042662826,85.60043,16.730652,427964,3360.2048,4.9288,0.012321637,,0.32749707,,144.73510058151547,16606029260.23932
4007333782863953152,179.49394218595518,27.546423917049616,3.889467061654921,25.45554,18.133825,494832,3165.5864,4.9152,0.009161249,,0.3177831,,257.1046326265872,14318876143.540503
4243360171563549056,304.2765359052507,2.6424627958540596,5.29654324104567,133.034,15.73572,498032,3515.8496,4.5584,0.042934906,,0.5588879,297,188.80238572404724,30998226723.36705
4486449895975584512,264.9936765754872,6.859911166901775,3.6704913795036678,55.000885,14.690842,312231,4308.248,4.6326,0.16518234,,0.7239092,325,272.44308639003594,60801374449.29954
4534993025110720640,284.2586062464817,26.144184871399787,5.275824094571061,218.8361,8.611222,371120,7767.516,4.0316,11.131144,1.7247899,1.8423045,197,189.543847951455,499115992609.3023
4606938709474561280,272.52881612930366,36.94120730506089,4.98519397246859,83.47288,14.091074,450766,4346.102,4.6317,0.13525537,0.69180965,0.64997196,143,200.5940000574974,55018512743.95217
4742981695493988864,35.27383993626465,-54.71345640838485,10.081503735913357,342.56937,13.734782,218586,3552.708,4.3667,0.062017657,0.56759953,0.6486321,207,99.19155179576023,37255403412.29879
4885937929594746240,64.23374634002195,-29.220265065307853,3.9811844385173036,37.670643,17.990007,529910,3382.0613,4.9825,0.009517937,,0.2845508,,251.18153038205534,14594963247.586004
5030770583365941504,14.820357764171657,-31.220242973831137,7.294397202198416,397.00134,10.757304,198937,5663.285,4.4721,0.73742056,0.9966202,0.89085066,129,137.09152000916757,128466299456.82396
5141110457864477440,28.808510807790974,-18.046834204388993,3.3479838173654484,132.68666,13.727644,483898,4578.5503,4.4453,0.27957135,,0.84123665,395,298.68722626828793,79100263227.41783
5390849161014818048,161.98001129587752,-44.413852092120315,4.340728393485929,392.65512,12.607403,245764,5035.7705,4.5414,0.40444976,0.8164198,0.8350906,386,230.37608192686884,95140161662.74725
5525701792560794112,131.7977367126715,-40.069495911023274,3.931196526799858,69.182526,16.866936,47681,3639.1772,4.7673,0.022554316,,0.3863072,,254.37547911501582,22467069065.95259
5565267512326650240,107.94121438179668,-37.92690136754911,3.4385642475013367,108.08683,16.16625,141182,3484.0525,4.3032,0.07075619,,0.72919315,,290.81905354150615,39793653295.000145
5900246889536336640,225.03967857529742,-51.83636985441513,6.392155834481182,117.92403,15.716129,406025,3568.9211,4.7688,0.032997254,,0.47393644,,156.44174295715754,27175058976.884098
5927744094804268288,251.09760693925082,-56.960100359866715,11.304311485078195,874.49146,12.686421,14768,4135.3413,4.6646,0.1076151,,0.6345888,267,88.46182284697393,49075891430.00754
6024847395467088896,247.00745055266052,-33.0594298957876,12.446468178396216,593.672,13.888916,100606,3464.2517,4.4048,0.042879555,,0.57543856,317,80.34407718454108,30978239298.055214
